full param,lsp d=2048 r=8,
0.970300019,0.976100028,
0.966400027,0.957599998,
1.028399944,0.933899999,
0.898899972,0.952099979,
0.929199994,0.942300022,
0.883400023,0.878600001,
0.931200027,0.880299985,
0.917100012,0.932699978,
0.885399997,0.85619998,
0.958800018,0.851400018,
0.843500018,0.895600021,
0.943300009,0.885699987,
0.85860002,0.878499985,
0.837100029,0.855300009,
0.843599975,0.888199985,
0.948899984,0.872200012,
0.877600014,0.834200025,
1.015499949,0.889599979,
0.880699992,0.847199976,
0.906799972,0.867200017,
0.845899999,0.856899977,
0.851199985,0.837000012,
0.844799995,0.86650002,
0.83920002,0.814499974,
0.894699991,0.84859997,
0.836000025,0.817799985,
0.874300003,0.815900028,
0.856599987,0.873000026,
0.835600019,0.828100026,
0.80250001,0.810500026,
0.870199978,0.853399992,
0.949299991,0.861400008,
0.840399981,0.849399984,
0.825800002,0.794499993,
0.824299991,0.854700029,
0.910899997,0.861899972,
1.012899995,0.814700007,
0.852599978,0.841799974,
0.849900007,0.866400003,
0.858399987,0.828599989,
0.857200027,0.843800008,
0.930499971,0.849300027,
0.824000001,0.866400003,
0.855300009,0.862500012,
0.897499979,0.834999979,
0.864600003,0.846899986,
0.862100005,0.819700003,
0.868600011,0.855099976,
0.814599991,0.814599991,
0.859000027,0.8046,
0.863499999,0.855700016,
0.822899997,0.854499996,
0.856100023,0.876299977,
0.859000027,0.852800012,
0.840699971,0.841600001,
0.793299973,0.850000024,
0.821099997,0.842999995,
0.841700017,0.791499972,
0.852900028,0.827400029,
0.870400012,0.815599978,
0.853100002,0.86680001,
0.864600003,0.833899975,
0.833100021,0.843800008,
0.83859998,0.857500017,
0.907299995,0.81220001,
0.834299982,0.818799973,
0.819400012,0.836600006,
0.83039999,0.847100019,
0.97240001,0.859499991,
0.884899974,0.885200024,
0.818799973,0.870500028,
0.84799999,0.837100029,
0.869099975,0.822700024,
0.874899983,0.833899975,
0.870199978,0.807799995,
0.865499973,0.83920002,
0.823700011,0.844600022,
0.844600022,0.869099975,
1.001700044,0.806500018,
0.906599998,0.815299988,
0.888800025,0.843599975,
0.834599972,0.856000006,
0.819199979,0.889299989,
0.879299998,0.83039999,
0.814499974,0.846700013,
0.820900023,0.838199973,
0.845000029,0.844600022,
0.818499982,0.821399987,
0.8046,0.856999993,
0.843800008,0.859700024,
0.880599976,0.859000027,
0.814999998,0.809199989,
0.794799984,0.827600002,
0.836300015,0.824100018,
0.816900015,0.830500007,
0.913100004,0.826200008,
0.811999977,0.83039999,
0.836799979,0.844099998,
0.856899977,0.851000011,
0.822899997,0.848100007,
0.884199977,0.816600025,
0.885500014,0.833899975,
0.859399974,0.791700006,
0.789300025,0.85769999,
0.880999982,0.821799994,
0.914600015,0.84799999,
0.850700021,0.822000027,
0.798600018,0.834299982,
0.826200008,0.810400009,
0.797500014,0.838800013,
0.810199976,0.814300001,
0.841899991,0.82099998,
0.810000002,0.852500021,
0.813399971,0.838400006,
0.824899971,0.803900003,
0.789900005,0.854600012,
0.800800025,0.84799999,
0.910000026,0.825699985,
0.782400012,0.83859998,
0.799399972,0.842199981,
0.922999978,0.805999994,
0.797999978,0.833100021,
0.82249999,0.798099995,
0.781099975,0.825399995,
0.83950001,0.839600027,
0.832599998,0.861199975,
0.801599979,0.837100029,
0.823000014,0.855099976,
0.799199998,0.890999973,
0.812099993,0.821699977,
0.8926,0.832599998,
0.874199986,0.818400025,
0.790099978,0.844699979,
0.819299996,0.846899986,
0.81400001,0.821399987,
0.796500027,0.792500019,
0.799399972,0.811200023,
0.821200013,0.828999996,
0.805000007,0.827099979,
0.814199984,0.769599974,
0.859600008,0.842499971,
0.830600023,0.836799979,
0.876900017,0.819100022,
0.81129998,0.858200014,
0.917299986,0.81279999,
0.824800014,0.876800001,
0.810800016,0.825900018,
0.824400008,0.811600029,
0.834299982,0.791499972,
0.800800025,0.806299984,
0.789099991,0.857299984,
0.907100022,0.852100015,
0.829699993,0.816500008,
0.849900007,0.823700011,
0.875,0.837300003,
0.803200006,0.873600006,
0.795599997,0.811100006,
0.818599999,0.850600004,
0.793900013,0.833800018,
0.836700022,0.808200002,
0.916599989,0.812699974,
0.829599977,0.813199997,
0.786599994,0.833899975,
0.789499998,0.808799982,
0.834800005,0.849399984,
0.806900024,0.763100028,
0.820100009,0.84740001,
0.773299992,0.806299984,
0.8046,0.790199995,
0.796599984,0.825399995,
0.817200005,0.828800023,
0.811600029,0.83829999,
0.838800013,0.827400029,
